"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
3338,"A Comparison of UGSB and GA to IV Narcotics and GA for Post-Op Pain in Children With Supracondylar Fractures.","Active, not recruiting","No Results Available","Supracondylar Fractures","Drug: Fentanyl|Drug: Ropivacaine","Texas Children't Hospital, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT02056288"
3339,"Surgical Versus Nonsurgical Treatment of Fibular Fractures: A Prospective Randomized Study","Active, not recruiting","No Results Available","Ankle Fracture|Malleolus Fracture|Medial Malleolus Fracture|Bimalleolar Fracture|Trimalleolar Fracture","Procedure: Nonsurgical|Procedure: Surgical","Erlanger Health System, Chattanooga, Tennessee, United States","https://ClinicalTrials.gov/show/NCT02032966"
3340,"Prevention of Infection in Closed Fractures: Cefazolin Versus Vancomycin","Terminated","No Results Available","Infection|Closed Fractures","Drug: Cefazolin|Drug: Vancomycin","Erlanger Health System, Chattanooga, Tennessee, United States","https://ClinicalTrials.gov/show/NCT02027532"
3341,"The Effect of Strain-counterstrain on Ankle Instability","Terminated","No Results Available","Other Instability, Ankle and Foot","Other: Strain Counterstrain|Other: Sham strain counterstrain","Long Island University, Brooklyn, New York, United States","https://ClinicalTrials.gov/show/NCT02025569"
3342,"Analgesic Benefits of Genicular Nerve Blocks of the Posterior Knee for Patients Undergoing ACL Reconstruction","Terminated","Has Results","Rupture of Anterior Cruciate Ligament","Drug: Bupivacaine|Drug: Preservative free normal saline","Northwestern University Feinberg School of Medicine, Chicago, Illinois, United States","https://ClinicalTrials.gov/show/NCT02008617"
3343,"The Effect of Healing Touch on Sleep Patterns of Pediatric Burn Patients","Completed","No Results Available","Burn","Other: Healing Touch","Shriners Hospitals for Children, Cincinnati, Ohio, United States","https://ClinicalTrials.gov/show/NCT01983280"
3344,"Gas Supply, Demand and Middle Ear Gas Balance -- Fly/Dive Simulation","Completed","No Results Available","Middle-ear Barotrauma","Other: flight/diving simulation|Other: ET function testing at ambient pressure|Other: nasal video-endoscopy","University of Pittsburgh Middle Ear Physiology Laboratory, Pittsburgh, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT01976429"
3345,"Volumes of Administration for Intranasal Midazolam","Completed","Has Results","Children Requiring Sedation to Facilitate Laceration Repair","Drug: Intranasal midazolam","New York Presbyterian Morgan Stanley Children's Hospital, New York, New York, United States","https://ClinicalTrials.gov/show/NCT01948908"
3346,"Nitrous Oxide Use in Minor Procedures","Completed","Has Results","Laceration|Abscess","Drug: Nitrous Oxide","Jacobi Medical Center, Bronx, New York, United States","https://ClinicalTrials.gov/show/NCT01911351"
3347,"Feasibility of Implantable Myoelectric Sensors to Control Upper Limb Prostheses","Completed","No Results Available","Amputation, Traumatic","Device: IMES","Walter Reed National Military Medical Center, Bethesda, Maryland, United States","https://ClinicalTrials.gov/show/NCT01901081"
3348,"Low Dose Ketamine VR Analgesia During Burn Care Procedure","Completed","No Results Available","Burn","Behavioral: Virtual Reality","Harborview Medical Center, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT01889537"
3349,"Acute Management of Humeral Shaft Fractures: Sling vs. Splint","Recruiting","No Results Available","Fracture of Shaft of Humerus","Device: Sling and Swathe|Device: Coaptation Splint","Oregon Health and Science University, Portland, Oregon, United States","https://ClinicalTrials.gov/show/NCT01869322"
3350,"E-Stim and Achilles Tendon Repair Study","Completed","Has Results","Achilles Tendon Rupture","Device: Compex® muscle stimulator|Device: (inactive) muscle stimulator","Orthopedic Foot and Ankle Center, Westerville, Ohio, United States","https://ClinicalTrials.gov/show/NCT01833936"
3351,"FES-Rowing Versus Zoledronic Acid to Improve Bone Health in Spinal Cord Injury (SCI)","Terminated","Has Results","Osteoporosis","Other: FES-Rowing|Drug: Zoledronic acid","Boston VAMC, Boston, Massachusetts, United States|Spaulding Rehab. Hospital, Charlestown, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT01426555"
3352,"Characterizing Ankle Function During Sloped Locomotion for Prosthesis Development","Recruiting","No Results Available","Traumatic Amputation of Lower Extremity","Device: Powered ankle-foot prosthesis","University of Colorado Boulder, Boulder, Colorado, United States","https://ClinicalTrials.gov/show/NCT01784003"
3353,"Non-Surgical Treatment for Rotator-Cuff Tears Using Platelet-Rich-Plasma","Recruiting","No Results Available","Partial Tear of Rotator Cuff|Tendinopathy of Rotator Cuff","Procedure: PRP injection into PTRCT|Drug: Subacromial steroid bursal injection","UAB Highlands, Birmingham, Alabama, United States","https://ClinicalTrials.gov/show/NCT02246530"
3354,"Study of ST266 in Diabetic Subjects With Deep Burns Managed With Skin Grafts","Terminated","No Results Available","Third Degree Burns|Diabetes","Biological: ST266|Drug: Saline","The Burn Unit of the Wexner Medical Center at The Ohio State University., Columbus, Ohio, United States","https://ClinicalTrials.gov/show/NCT01715012"
3355,"VITamin D and OmegA-3 TriaL (VITAL): Fractures, Vitamin D and Genetic Markers","Active, not recruiting","No Results Available","Fractures","Dietary Supplement: Vitamin D3 placebo|Dietary Supplement: Fish oil placebo|Drug: omega-3 fatty acids (fish oil)|Dietary Supplement: Vitamin D3","Brigham and Women's Hospital, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT01704859"
3356,"A Trauma Informed Adaptation of Mindfulness-Based Relapse Prevention for Women in Substance Use Treatment","Recruiting","No Results Available","Substance Use Disorders|Post Traumatic Stress Disorder","Behavioral: Trauma Informed Mindfulness-Based Relapse Prevention|Behavioral: Treatment As Usual (TAU)","Beavterton Hazelden Betty Ford Foundation, Beaverton, Oregon, United States|Lifeworks NW Walnut, Hillsboro, Oregon, United States|Lifeworks NW Mountaindale, Mountaindale, Oregon, United States|Springbrook Hazelden Betty Ford Foundation, Newberg, Oregon, United States|Lifeworks NW Project Network, Portland, Oregon, United States","https://ClinicalTrials.gov/show/NCT03505749"
3357,"Development of a Simulation Tool for Upper Extremity Prostheses","Completed","No Results Available","Traumatic Amputation of Upper Limb, Level Unspecified",,"University of South Floria RRT building, Tampa, Florida, United States","https://ClinicalTrials.gov/show/NCT01622530"
3358,"Correlation of Bispectral Index Score and Total Intravenous Anesthesia (TIVA)","Terminated","No Results Available","Benign/Malignant Neoplasm|Long Bone Fracture","Drug: propofol","University Hospital, Newark, New Jersey, United States","https://ClinicalTrials.gov/show/NCT01618539"
3359,"Randomized Controlled Trial to Assess Efficacy of Melatonin for Children During Burn Rehabilitation","Terminated","No Results Available","Burns","Drug: Melatonin|Other: placebo","Shriners Hospital for Children, Cincinnati, Ohio, United States","https://ClinicalTrials.gov/show/NCT01598259"
3360,"Circadian Rhythm of Melatonin in Burns","Completed","No Results Available","Sleep|Burns",,"Shriners Hospital for Children, Cincinnati, Ohio, United States","https://ClinicalTrials.gov/show/NCT01596101"
3361,"Web-based CBT for Recent Veterans Experiencing Problems With Trauma Symptoms or Alcohol/Drug Use","Unknown status","No Results Available","Post-Traumatic Stress Symptoms|Problematic Use of Alcohol or Other Drugs","Behavioral: Web-based Cognitive Behavioral Treatment","Buffalo VA Medical Center, Buffalo, New York, United States|Syracuse VA Medical Center, Syracuse, New York, United States","https://ClinicalTrials.gov/show/NCT01710943"
3362,"Repertaxin in Prevention of Primary Graft Dysfunction After Lung Transplantation","Completed","No Results Available","Ischemia-Reperfusion Injury|Lung Transplantation","Drug: repertaxin","University of South California, Department of Cardiothoracic Surgery, Los Angeles, California, United States|University of Colorado, Health Sciences Centre, Denver, Colorado, United States|Washington University School of Medicine, St. Louis, Missouri, United States|Duke University Medical Center, Durham, North Carolina, United States|The Cleveland Clinic Foundation, Cleveland, Ohio, United States","https://ClinicalTrials.gov/show/NCT00224406"
3363,"Functional Outcomes in Dysvascular Transfemoral Amputees","Completed","Has Results","Transfemoral Amputation|Unilateral Traumatic Amputation of Leg at or Above Knee","Device: C leg compared to subject's mechanical leg (Otto Bock)","Rehabilitation Institute of Chicago, 345 E Superior St, Chicago, Illinois, United States","https://ClinicalTrials.gov/show/NCT01537211"
3364,"Adequacy of Pain Management for Upper Extremity Fracture After Discharge From a Pediatric Emergency Depart","Unknown status","No Results Available","Fracture",,"Children's Hospitals and Clinics of Minnesota, Twin Cities, Minnesota, United States","https://ClinicalTrials.gov/show/NCT01514097"
3365,"Cosmetic Outcomes and Patient Satisfaction After Facial Laceration Repair in the Emergency Department","Completed","No Results Available","Facial Lacerations",,"Children's Hospitals and Clinics of Minnesota, Twin Cities, Minnesota, United States","https://ClinicalTrials.gov/show/NCT01514084"
3366,"Aspiration for Pain Relief Following Ankle Fracture","Completed","No Results Available","Ankle Fracture","Procedure: Ankle Aspiration|Procedure: Ankle aspiration Standard Anterolateral","Mayo Clinic in Rochester, Rochester, Minnesota, United States","https://ClinicalTrials.gov/show/NCT01484535"
3367,"Early Standardized Weight Bearing Utilizing Immersion Therapy Following Periarticular Lower Extremity Fractures","Terminated","No Results Available","Lower Extremity Periarticular Fractures",,"University of Utah Orthopedics Center, Salt Lake City, Utah, United States","https://ClinicalTrials.gov/show/NCT01457326"
3368,"Ankle Fracture Treatment in the Elderly","Completed","No Results Available","Ankle Fracture","Other: Fracture union","UF&Shands Orthopaedics and Sports Medicine Institute, Gainesville, Florida, United States","https://ClinicalTrials.gov/show/NCT01444144"
3369,"Treadmill Training With Lower Extremity Amputees","Completed","No Results Available","Traumatic Amputation of Lower Extremity","Other: Treadmill Training","Stony Brook University Medical Center, Stony Brook, New York, United States","https://ClinicalTrials.gov/show/NCT01419288"
3370,"Percutaneous Versus Open Plate Fixation of Diaphyseal Clavicle Fractures","Completed","No Results Available","Clavicle Fracture","Other: xrays","University of Utah Orthopedic Center, Salt Lake City, Utah, United States","https://ClinicalTrials.gov/show/NCT01405703"
3371,"Analysis of ROM Plus to Detect Rupture of Membranes","Completed","Has Results","Rupture of Amniotic Membranes","Procedure: Sterile speculum exam|Procedure: ROM Plus Exam|Procedure: Chart Reveiw","University of Utah Medical Center, Salt Lake City, Utah, United States","https://ClinicalTrials.gov/show/NCT01366443"
3372,"Bedside Ultrasound in the Diagnosis of Ankle Fractures in Children","Completed","No Results Available","Ankle Fracture","Other: Ultrasound","Hasbro Children's Hospital, Providence, Rhode Island, United States","https://ClinicalTrials.gov/show/NCT01341015"
3373,"A Comparison of External Mechanical Work Between Different Prosthetic Feet","Completed","No Results Available","Traumatic Amputation of Lower Extremity","Other: Specialized Functional Prosthetic Training","Miami VAHS, Miami, Florida, United States","https://ClinicalTrials.gov/show/NCT01340807"
3374,"Prospective Biceps Study","Unknown status","No Results Available","Biceps Tendon Rupture","Procedure: Distal Biceps Re-Insertion Surgery","Allegheny Imaging of McCandless, Pittsburgh, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT01317719"
3375,"Study Comparing Intramedullary Nailing, Plate Fixation, and Non-operative Treatment of Clavicle Fractures","Withdrawn","No Results Available","Clavicle Fractures","Other: Non-operative Treatment|Procedure: Operative Treatment-Plate Fixation|Procedure: Operative Treatment-Intramedullary Pinning","University of Missouri-Columbia, Columbia, Missouri, United States","https://ClinicalTrials.gov/show/NCT01311219"
3376,"WRx Distal Radius Wrist Fracture Study","Terminated","No Results Available","Wrist Fracture","Procedure: Surgical treatment of distal radius fractures","Mayo Clinic in Rochester, Rochester, Minnesota, United States","https://ClinicalTrials.gov/show/NCT01293227"
3377,"Functional Review of Distal Biceps Re-Insertion","Completed","No Results Available","Distal Biceps Ruptures","Procedure: Distal Biceps Re-Insertion","Allegheny Imaging of McCandless, Pittsburgh, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT01278251"
3378,"The Addition of Oral Analgesics to LET During Laceration Repair","Suspended","No Results Available","Laceration|Pain","Drug: Ibuprofen|Drug: Oxycodone|Other: Placebo","Children's Hospitals and Clinics of Minnesota, Minneapolis and St Paul, Minnesota, United States","https://ClinicalTrials.gov/show/NCT01268670"
3379,"Study Evaluating Benefit of Using Fibrin Glue in Septorhinoplasty","Terminated","Has Results","Recovery Time|Bruising","Drug: Fibrinogen|Procedure: Septorhinoplasty|Procedure: Taping after septorhinoplasty.|Procedure: Cast applied to the nose after nasal surgery|Other: Saline","Mayo Clinic, Rochester, Minnesota, United States","https://ClinicalTrials.gov/show/NCT00713596"
3380,"Study of Tibial Shaft Fractures in Children","Completed","No Results Available","Tibial Shaft Fractures in Children","Procedure: Long leg cast in full extension|Procedure: Long leg cast with 45 degrees of flexion","Los Angeles Orthopaedic Hospital, Los Angeles, California, United States","https://ClinicalTrials.gov/show/NCT01238523"
3381,"Prospective Study on Artelon® Tissue Reinforcement in Repair of Chronic Ruptures and Re-ruptures of the Achilles Tendon","Terminated","Has Results","Achilles Tendon Rupture","Device: Artelon","Orthopedic Foot and Ankle Center, Westerville, Ohio, United States","https://ClinicalTrials.gov/show/NCT01237613"
3382,"Hemostasis in Kocher-Langenbeck Approaches for Acetabular Surgery Using a Topical Surgical Hemostat (Vitagel)","Terminated","Has Results","Fracture Fixation|Intra-Articular Fractures|Acetabulum","Device: Vitagel|Procedure: Standard of care","The University of Texas Health Science Center at Houston, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT01230931"
3383,"Effect of Cranberry Extract on Infections in Burn Patients","Withdrawn","No Results Available","Burn","Dietary Supplement: Cranberry Extract|Drug: Inert Placebo Capsule","Saint Elizabeth Regional Medical Center, Lincoln, Nebraska, United States","https://ClinicalTrials.gov/show/NCT01225107"
3384,"The Use of Teriparatide as an Adjunctive Therapy for the Treatment of Jones Fractures","Unknown status","No Results Available","Fractures","Drug: Teriparatide|Drug: Placebo","Ohio Orthopedic Center of Excellence, Upper Arlington, Ohio, United States","https://ClinicalTrials.gov/show/NCT01173081"
3385,"Anterior Cruciate Ligament (ACL) Reconstruction- Bioabsorbable Screw","Completed","No Results Available","Rupture of Anterior Cruciate Ligament",,"Vanderbilt University Medical Center, Nashville, Tennessee, United States","https://ClinicalTrials.gov/show/NCT01069588"
3386,"Enhanced Firefighter Rehab Trial: The Role of Aspirin in Preventing Heat Stress Induced Platelet Activation","Completed","Has Results","Heat Stress Disorders","Drug: Daily aspirin (ASA)|Other: Active cooling|Drug: Acute aspirin (ASA)|Other: Passive cooling|Drug: Daily placebo|Drug: Acute placebo","University of Pittsburgh, Emergency Responder Human Performance Lab, Pittsburgh, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT01066923"
3387,"Real World Testing of a Brain-Computer Interface","Recruiting","No Results Available","Amyotrophic Lateral Sclerosis|Brain Stem Stroke|Cerebral Palsy|Traumatic Brain Injury|Speech Disorders","Behavioral: Speech generating device (SGD) evaluation including BCI access|Behavioral: Training and treatment","AAC Institute Clinic (ICAN Talk Clinic), Carnegie, Pennsylvania, United States|University of Pittsburgh, AAC Performance and Testing Laboratory, Pittsburgh, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT04026581"
3388,"Pain and Anxiety Management With Oral Narcotic for Pediatric Suture Repair","Completed","No Results Available","Children|Lacerations|Procedures|Child|Pain","Drug: hydrocodone/acetaminophen|Drug: Sugar water","Baylor College of Medicine, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT01053637"
3389,"A Comparison of Casting and Splinting in Pediatric Radial Buckle Fractures","Completed","No Results Available","Distal Radial Buckle Fractures","Procedure: Volar Splint|Procedure: Cast","St. Louis Children's Hospital, St. Louis, Missouri, United States","https://ClinicalTrials.gov/show/NCT01010347"
3390,"Pilot Trial of Statin Use in Burn Patients","Completed","Has Results","Burns","Drug: Rosuvastatin|Drug: Placebo","Vanderbilt University Medical Center, Nashville, Tennessee, United States","https://ClinicalTrials.gov/show/NCT00978419"
3391,"BioCleanse Tibialis Tendon Anterior Cruciate Ligament (ACL) Study","Completed","No Results Available","Anterior Cruciate Ligament Rupture","Other: BioCleanse Tibialis tendon","The Orthopedic Clinic, Assoc, Phoenix, Arizona, United States","https://ClinicalTrials.gov/show/NCT00975845"
3392,"Comparison of AWBAT™-D and MEPILEX® AG for Treatment of Donor Sites in Burn Surgery","Terminated","No Results Available","Burn Surgery","Device: AWBAT™-D and Mepilex® Ag dressings","Doctors Hospital of Augusta, Augusta, Georgia, United States","https://ClinicalTrials.gov/show/NCT00974597"
3393,"Movement-2-Music: Lakeshore Examination of Activity, Disability, and Exercise Response Study","Recruiting","No Results Available","Spinal Cord Injuries|Traumatic Brain Injury|Spina Bifida|Cerebral Palsy|Stroke|Parkinson Disease|Multiple Sclerosis","Other: Movement-2-Music (M2M)","UAB/Lakeshore Research Collaborative, Birmingham, Alabama, United States","https://ClinicalTrials.gov/show/NCT03797378"
3394,"Radiation Exposure Using Laser Guided Fluoroscopy in Various Orthopaedic Procedures","Withdrawn","No Results Available","Fractures","Procedure: Laser beam guidance","Loma Linda University, Loma Linda, California, United States","https://ClinicalTrials.gov/show/NCT00972647"
3395,"Neural Basis of Meal Related Interoceptive Dysfunction in Anorexia Nervosa","Recruiting","No Results Available","Anorexia Nervosa|Major Depressive Disorder|Generalized Anxiety Disorder|Panic Disorder|Brain Injury","Drug: Isoproterenol|Drug: Normal saline","Laureate Institute for Brain Research, Tulsa, Oklahoma, United States","https://ClinicalTrials.gov/show/NCT02615119"
3396,"Quadriceps Function Prior to Anterior Cruciate Ligament Reconstruction","Unknown status","No Results Available","Rupture of Anterior Cruciate Ligament","Other: cryotherapy|Other: TENS","University of Virginia, Charlottesville, Virginia, United States","https://ClinicalTrials.gov/show/NCT00971451"
3397,"Prophylactic Use of Antibiotics for Through and Through Lacerations of the Lip","Terminated","Has Results","Through-and-through Lip Lacerations","Drug: keflex|Drug: placebo","Hopital of the University of Pennsylvania, Philadelphia, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT00957827"
3398,"The Effect of Kinesio Taping on Ankle Proprioception","Completed","No Results Available","Sprains and Strains","Other: KinesioTape","Logan University, College of Chiropractic, St. Louis, Missouri, United States","https://ClinicalTrials.gov/show/NCT00932230"
3399,"Registry Trial of the Effectiveness of Platelet Rich Plasma for Chronic Non-Healing Wounds","Terminated","No Results Available","Diabetic Foot Ulcers|Venous Ulcers|Pressure Ulcers","Device: Autologous PRP Gel|Device: Autologous PRP Injections|Device: Autologous PRP Gel plus PRP Injections|Procedure: Standard Wound Care","Good Samaritan Wound Care Center, Bakersfield, California, United States|Sunnyside Foot and Ankle, Idaho Falls, Idaho, United States|Wound Care Center, Englewood Hospital and Medical Center, Englewood, New Jersey, United States|Comprehensive Wound Healing Center and Hyperbarics, Lake Success, New York, United States|Total Foot Care, Cleveland, Ohio, United States|Heritage Valley Health System, Beaver, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT02071979"
3400,"Cast Immobilization for Non-Displaced Scaphoid Fractures","Completed","Has Results","Non-displaced Scaphoid Fractures","Device: Cast that immobilizes the thumb|Device: Cast that does not immobilize the thumb","Massachusettes General Hospital, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT00916539"
3401,"A Trial of Bed Versus Stirrups Delivery in Nulliparous Women for Prevention of Perineal Lacerations","Completed","No Results Available","Perineal Lacerations","Other: Stirrups delivery vs bed delivery","Parkland Memorial Hospital, Dallas, Texas, United States","https://ClinicalTrials.gov/show/NCT00895973"
3402,"Burn Micronutrient Repletion Pilot Study","Completed","No Results Available","Burn","Dietary Supplement: Vitamin and Mineral supplementation","Memorial Medical Center, Springfield, Illinois, United States","https://ClinicalTrials.gov/show/NCT00879723"
3403,"The Treatment of Type I Open Fractures in Pediatrics","Recruiting","No Results Available","Fractures, Open","Procedure: Formal Operative Treatment|Procedure: Emergency Department Treatment","Ann & Robert H. Lurie Children's Hospital of Chicago, Chicago, Illinois, United States","https://ClinicalTrials.gov/show/NCT00870064"
3404,"Effects of Wearing a Powered Ankle-Foot Prosthesis on Amputee Walking","Completed","Has Results","Traumatic Amputation of Lower Extremity","Device: Powered ankle-foot prosthesis|Other: No device","VA Medical Center, Providence, Providence, Rhode Island, United States","https://ClinicalTrials.gov/show/NCT00869947"
3405,"The Effect of Selenium Supplementation Among Pediatric Patients With Burns","Active, not recruiting","No Results Available","Burns","Drug: Selenium1|Drug: Selenium2|Drug: Placebo","Shriners Hospitals for Children, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT00860379"
3406,"Operative Versus Nonoperative Treatment for Scapula Fractures","Withdrawn","No Results Available","Scapula Fracture|Clavicle Fracture",,"Vanderbilt Orthopaedic Institute, Vanderbilt University Medical Center, Nashville, Tennessee, United States","https://ClinicalTrials.gov/show/NCT00849771"
3407,"Awbat Versus Biobrane in Partial Thickness Burns","Withdrawn","No Results Available","Burns","Device: AWBAT|Device: Biobrane","Shriners Hospital for Children, Galveston, Texas, United States","https://ClinicalTrials.gov/show/NCT00847496"
3408,"Early Functional Outcomes After Closed Reduction With Pinning Versus Open Reduction Internal Fixation of Wrist Fractures","Completed","No Results Available","Wrist Fractures","Procedure: CRPP|Procedure: ORIF","Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT00828685"
3409,"Effect of Music Therapy on Families of Burn Patients","Terminated","No Results Available","Burns","Behavioral: Sound Of Family Together (S.O.F.T.) Music Program|Other: Non-Therapy Related Activities (NTRA)","MetroHealth Medical Center, Cleveland, Ohio, United States","https://ClinicalTrials.gov/show/NCT00824681"
3410,"Randomized Trial of Casting Techniques for Displaced Forearm Fractures","Completed","Has Results","Displaced Forearm Fractures","Other: Bivalved cast|Other: Circumferential cast","Childrens Hospital Boston, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT00823823"
3411,"Antimicrobial Resistance of Bacteria in Burn Patients","Completed","No Results Available","Burns",,"University Medical Center, Lubbock, Texas, United States","https://ClinicalTrials.gov/show/NCT00794742"
3412,"Comparison of Ibuprofen, Cyclobenzaprine, or Both for Acute Cervical Strain: A Randomized Clinical Trial","Completed","Has Results","Cervical Strain","Drug: Cyclobenzaprine|Drug: Ibuprofen|Drug: Ibuprofen plus Cyclobenzaprine","Stony Brook University, Stony Brook, New York, United States","https://ClinicalTrials.gov/show/NCT00790270"
3413,"SSD vs Collagenase in Pediatric Burn Patients","Unknown status","No Results Available","Burns",,"Children's Mercy Hospital and Clinics, Kansas City, Missouri, United States","https://ClinicalTrials.gov/show/NCT00787592"
3414,"Bone Geometry, Strength, and Biomechanical Changes in Runners With a History of Stress Fractures","Completed","No Results Available","Stress Fractures|Bone Geometry|Bone Strength|Biomechanical Changes",,"University of Utah, Salt Lake City, Utah, United States","https://ClinicalTrials.gov/show/NCT00766077"
3415,"Pediatric Facial Fracture Study","Completed","No Results Available","Craniofacial Fracture",,"Children's Hospitla of Pittsburgh of UPMC, Pittsburgh, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT00759486"
3416,"Human Upper Extremity (Hand and Forearm) Allotransplantation","Terminated","No Results Available","Amputation, Traumatic","Procedure: Hand Transplantation","University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT00722280"
3417,"Surgical Treatment for Acute Patella Tendon Rupture","Terminated","No Results Available","Acute Patella Tendon Rupture","Procedure: Repair with transpatellar tunnels|Procedure: Repair with suture anchors.","Grady Healthcare System, Atlanta, Georgia, United States","https://ClinicalTrials.gov/show/NCT00716508"
3418,"Dexmedetomidine Cardiovascular Safety in Pediatric Burn Patients","Completed","Has Results","Burns|Sedation","Drug: Dexmedetomidine","Shriners Burn Hospital, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT00697788"
3419,"Operatively Treated Open Pilon Fractures","Completed","No Results Available","Open Pilon Fractures",,"Penn State Hershey Medical Center and College of Medicine, Hershey, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT00689429"
3420,"Acetabular Fractures of Both Columns","Completed","No Results Available","Acetabular Fractures|Both Columns",,"Penn State Milton S. Hershey Medical Center, Hershey, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT00676611"
3421,"Use of Ultrasound to Evaluate Clavicle Fractures in Pediatric Patients","Completed","No Results Available","Fractures",,"Kosair Children's Hospital, Louisville, Kentucky, United States","https://ClinicalTrials.gov/show/NCT00652548"
3422,"The Effects of a Prostaglandin Inhibitor on Ovulation and the Menstrual Cycle","Completed","Has Results","Ovulation (Follicular Rupture Yes/no)|Menstrual Cycles (Total Length, Bleeding Days)|Gonadotropin and Ovarian Hormone Levels (FSH, LH, E2, P)","Drug: Celebrex|Drug: Placebo","Oregon Health & Science University, Portland, Oregon, United States","https://ClinicalTrials.gov/show/NCT00614406"
3423,"Lateral Versus Anterior Spanning External Fixator for Tibial Plateau Fractures","Terminated","Has Results","Fractures, Closed","Device: Anterior pin placement|Device: Lateral pin placement","University of Missouri, Columbia, Missouri, United States","https://ClinicalTrials.gov/show/NCT00610701"
3424,"Use of Continuous Passive Motion in the Post-Operative Treatment of Intra-articular Knee Fractures","Completed","No Results Available","Intra-articular Knee Fractures","Other: Continuous Passive Motion","Greenville Hospital System Univeristy Medical Center, Greenville, South Carolina, United States","https://ClinicalTrials.gov/show/NCT00591929"
3425,"Non-Operative Versus Operative Treatment for High-Energy Midshaft Clavicle Fractures","Enrolling by invitation","No Results Available","High Energy Midshaft Clavicle Fractures","Device: ORIF with Plate and Screws|Device: Pin Fixation","Greenville Health, Greenville, South Carolina, United States","https://ClinicalTrials.gov/show/NCT00590850"
3426,"Open Reduction Internal Fixation of Calcaneus Fractures With and Without Bone Graft","Completed","No Results Available","Calcaneus Fractures","Procedure: ORIF of Calcaneus with bone grafting|Procedure: ORIF of Calcaneus without bone grafting","The University of Alabama at Birmingham, Orthopaedic Trauma, Birmingham, Alabama, United States","https://ClinicalTrials.gov/show/NCT00582686"
3427,"Vacuum Assisted Closure as a Treatment for Open Fractures","Completed","Has Results","Orthopaedic Traumatic Open Fractures","Procedure: Standard Wound Dressing|Device: VAC","The University of Alabama at Birmingham, Orthopaedic Trauma, Birmingham, Alabama, United States","https://ClinicalTrials.gov/show/NCT00582361"
3428,"Hyperbaric Oxygen Therapy in Chronic Traumatic Brain Injury or Post-Traumatic Stress Disorder","Terminated","No Results Available","Traumatic Brain Injury|Post-traumatic Stress Disorder",,"San Francisco Institute for Hyperbaric Medicine, San Francisco, California, United States|Rocky Mountain Hyperbaric Institute, Boulder, Colorado, United States|Hyperbaric Services of the Palm Beaches, Del Ray Beach, Florida, United States|Hyperbaric Medicine Inc. of Florida, Ft. Walton Beach, Florida, United States|Idaho Wound Care & Hyperbaric Medicine, Pocatello, Idaho, United States|Lifeforce Therapies, Plymouth, Minnesota, United States|Hyperbaric Institute of Nevada and Clinical Neurology Specialists, Henderson, Nevada, United States|Alliance Community Hospital Wound Care and Hyperbaric Department, Alliance, Ohio, United States|HBOT NOVA - Hyperbaric Oxygen Therapy of Northern Virginia, Reston, Virginia, United States|Fox Valley Wellness Center, Fond du Lac, Wisconsin, United States","https://ClinicalTrials.gov/show/NCT01105962"
3429,"Differential Effects of Zolpidem Versus Ramelteon in Burned Children","Completed","Has Results","Sleep|Burns","Drug: zolipidem|Drug: ramelteon","Shriners Hospital for Children, Cincinnati, Ohio, United States","https://ClinicalTrials.gov/show/NCT00539110"
3430,"Evaluation Perioperative Nutrition on Donor Site Healing in Patients Undergoing Reconstructive Burn Surg","Terminated","No Results Available","Burn|Reconstructive Surgical Procedure","Dietary Supplement: Juven (Ross Products) protein supplement","Shriners Hospital for Children, Cincinnati, Ohio, United States","https://ClinicalTrials.gov/show/NCT00539097"
3431,"Quantification and Derivation of Metabolic Needs in Children During Burn Rehabilitation","Withdrawn","No Results Available","Burns","Other: calories measured 5x following wound healing","Shriners Hospital for Children, Cincinnati, Ohio, United States","https://ClinicalTrials.gov/show/NCT00539019"
